terreno,construccion,recamaras,banos,estacionamientos,ubicacion,precio,anio_construct,cp,alcaldia,colonia,grado_marginalidad,pob_2010,tipo_seccion,tipo_col,precio_str,lat_long,lat,long
100.0,100.0,3.0,2.0,2,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.",5700000.0,2024.0,3900,BENITO JUAREZ,SAN JOSE INSURGENTES,1.0,5958.0,URBANO(A),COLONIA,"$5,700,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
109.0,109.0,2.0,2.0,0,"Lomas De los Angeles De Tetelpan, Alvaro Obregón, Ciudad De México 01790, México.",5714200.0,2024.0,1790,ALVARO OBREGON,LOMAS DE LOS ANGELES TETELPAN,4.0,7915.0,URBANO(A),COLONIA,"$5,714,200 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
168.0,163.0,3.0,2.0,2,"Del Valle Norte, Benito Juárez, Ciudad De México 03103, México.",7300000.0,2016.0,3103,BENITO JUAREZ,DEL VALLE I,3.0,18327.0,URBANO(A),COLONIA,"$7,300,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
118.5,118.5,3.0,2.0,0,"Nápoles, Benito Juárez, Ciudad De México 03810, México.",5190000.0,1940.0,3810,BENITO JUAREZ,NAPOLES,2.0,15487.0,URBANO(A),COLONIA,"$5,190,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
97.0,97.0,2.0,3.0,1,"Condesa, Cuauhtémoc, Ciudad De México 06140, México.",8200000.0,2019.0,6140,CUAUHTEMOC,CONDESA,2.0,11657.0,URBANO(A),COLONIA,"$8,200,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
120.0,208.0,3.0,1.0,1,"Colonial Iztapalapa, Iztapalapa, Ciudad De México 09270, México.",4950000.0,1983.0,9270,IZTAPALAPA,COLONIAL IZTAPALAPA (FRACC),1.0,4640.0,URBANO(A),FRACCIONAMIENTO,"$4,950,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
122.0,122.0,3.0,3.0,2,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.",5900000.0,1980.0,3900,BENITO JUAREZ,SAN JOSE INSURGENTES,1.0,5958.0,URBANO(A),COLONIA,"$5,900,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
79.0,79.0,2.0,2.0,2,"Vértiz Narvarte, Benito Juárez, Ciudad De México 03600, México.",3990000.0,2012.0,3600,BENITO JUAREZ,VERTIZ NARVARTE,2.0,6306.0,URBANO(A),COLONIA,"$3,990,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
200.0,170.0,3.0,2.0,2,"Prado Coapa 3a Secc., Tlalpan, Ciudad De México 14357, México.",7500000.0,1940.0,14357,TLALPAN,PRADO COAPA 2A SECCION,1.0,2081.0,URBANO(A),COLONIA,"$7,500,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
437.0,274.0,3.0,3.0,3,"Villa Quietud, Coyoacán, Ciudad De México 04960, México.",9950000.0,1980.0,4960,COYOACAN,VILLA QUIETUD (FRACC),1.0,3743.0,URBANO(A),FRACCIONAMIENTO,"$9,950,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
66.4,66.4,2.0,2.0,2,"Tierra Nueva, Xochimilco, Ciudad De México 16050, México.",3300000.0,2018.0,16050,XOCHIMILCO,JARDINES DEL SUR,2.0,7151.0,URBANO(A),BARRIO,"$3,300,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
70.0,70.0,3.0,2.0,2,"Carola, Alvaro Obregón, Ciudad De México 01180, México.",3500000.0,2014.0,1180,ALVARO OBREGON,SAN PEDRO DE LOS PINOS,3.0,10208.0,URBANO(A),COLONIA,"$3,500,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
212.0,375.0,3.0,3.0,3,"Residencial Acoxpa, Tlalpan, Ciudad De México 14300, México.",8400000.0,2000.0,14300,TLALPAN,NUEVA ORIENTAL COAPA-EX HACIENDA COAPA,2.0,3709.0,URBANO(A),COLONIA,"$8,400,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
79.2,79.2,2.0,1.0,1,"Agrícola Oriental, Iztacalco, Ciudad De México 08500, México.",2150000.0,2007.0,8500,IZTACALCO,AGRICOLA ORIENTAL II,4.0,60520.0,URBANO(A),COLONIA,"$2,150,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
44.0,55.0,2.0,1.0,0,"Ejercito Constitucionalista, Iztapalapa, Ciudad De México 09220, México.",850000.0,1996.0,9220,IZTAPALAPA,EJTO CONSTITUCIONALISTA,5.0,17235.0,URBANO(A),COLONIA,"$850,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
132.0,132.0,3.0,2.0,2,"Santa Ursula Xitla, Tlalpan, Ciudad De México 14420, México.",5600000.0,2015.0,14420,TLALPAN,ROCA DE CRISTAL,4.0,16365.0,URBANO(A),COLONIA,"$5,600,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
173.0,173.0,3.0,2.0,1,"Sifón, Iztapalapa, Ciudad De México 09400, México.",4700000.0,2010.0,9400,IZTAPALAPA,EL SIFON,4.0,13505.0,URBANO(A),COLONIA,"$4,700,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
200.0,225.0,2.0,1.0,1,"San Bartolo Atepehuacan, Gustavo A. Madero, Ciudad De México 07730, México.",4556000.0,1940.0,7730,GUSTAVO A. MADERO,CHURUBUSCO TEPEYAC,3.0,8378.0,URBANO(A),PUEBLO,"$4,556,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
173.0,173.0,3.0,2.0,1,"Sifón, Iztapalapa, Ciudad De México 09400, México.",4790000.0,2010.0,9400,IZTAPALAPA,EL SIFON,4.0,13505.0,URBANO(A),COLONIA,"$4,790,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
74.0,74.0,2.0,2.0,1,"Roma Sur, Cuauhtémoc, Ciudad De México 06760, México.",3890000.0,2010.0,6760,CUAUHTEMOC,ROMA SUR I,3.0,17435.0,URBANO(A),COLONIA,"$3,890,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
74.0,74.0,2.0,2.0,1,"Roma Sur, Cuauhtémoc, Ciudad De México 06760, México.",3890000.0,2010.0,6760,CUAUHTEMOC,ROMA SUR I,3.0,17435.0,URBANO(A),COLONIA,"$3,890,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
64.0,64.0,2.0,1.0,1,"Guerrero, Cuauhtémoc, Ciudad De México 06300, México.",1550000.0,1993.0,6300,CUAUHTEMOC,GUERRERO I,4.0,42339.0,URBANO(A),COLONIA,"$1,550,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
89.0,89.0,2.0,2.0,2,"Pedregal De Carrasco, Coyoacán, Ciudad De México 04700, México.",5900000.0,2020.0,4700,COYOACAN,CENTRO URBANO (U HAB),1.0,6035.0,URBANO(A),FRACCIONAMIENTO,"$5,900,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
18.0,65.0,2.0,2.0,1,"Escandón II Sección, Miguel Hidalgo, Ciudad De México 11800, México.",3400000.0,2012.0,11800,MIGUEL HIDALGO,ESCANDON I,3.0,26633.0,URBANO(A),COLONIA,"$3,400,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
47.2,47.2,2.0,1.0,1,"Guerrero, Cuauhtémoc, Ciudad De México 06300, México.",2433375.0,2024.0,6300,CUAUHTEMOC,GUERRERO I,4.0,42339.0,URBANO(A),COLONIA,"$2,433,375 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
64.0,64.0,3.0,1.0,0,"Anahuac, Miguel Hidalgo, Ciudad De México 11320, México.",2000000.0,2003.0,11320,MIGUEL HIDALGO,AHUEHUETES ANAHUAC,4.0,37553.0,URBANO(A),COLONIA,"$2,000,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
54.0,73.0,3.0,1.0,1,"Santiago Ahuizotla, Azcapotzalco, Ciudad De México 02750, México.",2300000.0,1996.0,2750,AZCAPOTZALCO,SANTIAGO AHUIZOTLA (PBLO),5.0,12322.0,URBANO(A),PUEBLO,"$2,300,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
173.0,173.0,3.0,2.0,1,"Sifón, Iztapalapa, Ciudad De México 09400, México.",4790000.0,2010.0,9400,IZTAPALAPA,EL SIFON,4.0,13505.0,URBANO(A),COLONIA,"$4,790,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
400.0,520.0,4.0,4.0,4,"Jardines De Coyoacán, Coyoacán, Ciudad De México 04890, México.",19900000.0,1981.0,4890,COYOACAN,CAMPESTRE COYOACAN (FRACC),1.0,6339.0,URBANO(A),FRACCIONAMIENTO,"$19,900,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
260.0,260.0,4.0,4.0,2,"Del Valle, Benito Juárez, Ciudad De México 03100, México.",9300000.0,2016.0,3100,BENITO JUAREZ,INSURGENTES SAN BORJA,1.0,788.0,URBANO(A),COLONIA,"$9,300,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
184.0,194.0,6.0,3.0,1,"Santa Inés, Azcapotzalco, Ciudad De México 02140, México.",3850000.0,1972.0,2140,AZCAPOTZALCO,SANTA INES,4.0,3231.0,URBANO(A),COLONIA,"$3,850,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
81.0,81.0,1.0,1.0,2,"San Rafael, Cuauhtémoc, Ciudad De México 06470, México.",4100000.0,1925.0,6470,CUAUHTEMOC,SAN RAFAEL I,3.0,19684.0,URBANO(A),COLONIA,"$4,100,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
86.0,86.0,2.0,2.0,1,"Lomas Del Chamizal, Cuajimalpa De Morelos, Ciudad De México 05129, México.",4200000.0,2009.0,5129,CUAJIMALPA DE MORELOS,LOMAS DEL CHAMIZAL,2.0,4802.0,URBANO(A),COLONIA,"$4,200,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
151.0,151.0,3.0,2.0,2,"Polanco Chapultepec, Miguel Hidalgo, Ciudad De México 11560, México.",12150000.0,2009.0,11560,MIGUEL HIDALGO,CHAPULTEPEC MORALES (POLANCO),1.0,13953.0,URBANO(A),COLONIA,"$12,150,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
85.0,85.0,3.0,1.0,0,"Acueducto de Guadalupe, Gustavo A. Madero, Ciudad De México 07279, México.",1550000.0,1984.0,7279,GUSTAVO A. MADERO,ACUEDUCTO DE GUADALUPE (RDCIAL),3.0,16671.0,URBANO(A),UNIDAD HABITACIONAL,"$1,550,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
256.0,256.0,3.0,3.0,3,"Bosques De Las Lomas, Miguel Hidalgo, Ciudad De México 11700, México.",8950000.0,2013.0,11700,MIGUEL HIDALGO,BOSQUES DE LAS LOMAS,1.0,8046.0,URBANO(A),COLONIA,"$8,950,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
120.0,163.0,3.0,3.0,0,"San Francisco, La Magdalena Contreras, Ciudad De México 10500, México.",5000000.0,1989.0,10500,LA MAGDALENA CONTRERAS,SAN FRANCISCO,3.0,9415.0,URBANO(A),BARRIO,"$5,000,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
154.0,154.0,3.0,2.0,1,"Verónica Anzures, Miguel Hidalgo, Ciudad De México 11300, México.",6290000.0,1999.0,11300,MIGUEL HIDALGO,ANZURES,1.0,9765.0,URBANO(A),COLONIA,"$6,290,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
