,,CATALOGO DE COLONIAS DEL ESTADO DE DISTRITO FEDERAL,CATALOGO DE COLONIAS ,,,,,,,,
,,,,,,,,,,,
,ID,ENTIDAD,DISTRITO,MUNICIPIO,NOMBRE DEL MUNICIPIO,SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,CONTROL
,1676,9,1,5,GUSTAVO A. MADERO,844,URBANO(A),COLONIA,TEPETATAL,7130,1785
,1703,9,1,5,GUSTAVO A. MADERO,845,URBANO(A),COLONIA,ARBOLEDAS DE CUAUTEPEC,7140,1813
,1718,9,1,5,GUSTAVO A. MADERO,845,URBANO(A),PUEBLO,CUAUTEPEC EL ALTO,7100,1829
,1715,9,1,5,GUSTAVO A. MADERO,845,URBANO(A),COLONIA,LA FORESTAL,7140,1826
,1703,9,1,5,GUSTAVO A. MADERO,846,URBANO(A),COLONIA,ARBOLEDAS DE CUAUTEPEC,7140,1813
,1718,9,1,5,GUSTAVO A. MADERO,846,URBANO(A),PUEBLO,CUAUTEPEC EL ALTO,7100,1829
,1715,9,1,5,GUSTAVO A. MADERO,846,URBANO(A),COLONIA,LA FORESTAL,7140,1826
,1703,9,1,5,GUSTAVO A. MADERO,847,URBANO(A),COLONIA,ARBOLEDAS DE CUAUTEPEC,7140,1813
,1704,9,1,5,GUSTAVO A. MADERO,847,URBANO(A),COLONIA,LA CASILDA,7150,1814
,1703,9,1,5,GUSTAVO A. MADERO,848,URBANO(A),COLONIA,ARBOLEDAS DE CUAUTEPEC,7140,1813
,1704,9,1,5,GUSTAVO A. MADERO,849,URBANO(A),COLONIA,LA CASILDA,7150,1814
,1703,9,1,5,GUSTAVO A. MADERO,850,URBANO(A),COLONIA,ARBOLEDAS DE CUAUTEPEC,7140,1813
,1704,9,1,5,GUSTAVO A. MADERO,850,URBANO(A),COLONIA,LA CASILDA,7150,1814
,1718,9,1,5,GUSTAVO A. MADERO,851,URBANO(A),PUEBLO,CUAUTEPEC EL ALTO,7100,1829
,1717,9,1,5,GUSTAVO A. MADERO,851,URBANO(A),COLONIA,SAN ANTONIO,7109,1828
,1716,9,1,5,GUSTAVO A. MADERO,851,URBANO(A),COLONIA,SAN MIGUEL CUAUTEPEC,7100,1827
,1650,9,1,5,GUSTAVO A. MADERO,852,URBANO(A),COLONIA,LUIS DONALDO COLOSIO,7164,1756
,1656,9,1,5,GUSTAVO A. MADERO,852,URBANO(A),COLONIA,PRADOS DE CUAUTEPEC,7164,1763
,1655,9,1,5,GUSTAVO A. MADERO,852,URBANO(A),COLONIA,QUETZALCOATL 3,7164,1761
,1717,9,1,5,GUSTAVO A. MADERO,852,URBANO(A),COLONIA,SAN ANTONIO,7109,1828
,1676,9,1,5,GUSTAVO A. MADERO,852,URBANO(A),COLONIA,TEPETATAL,7130,1785
,1653,9,1,5,GUSTAVO A. MADERO,852,URBANO(A),COLONIA,TLACAELEL,7164,1759
,1663,9,1,5,GUSTAVO A. MADERO,853,URBANO(A),COLONIA,LOMA DE LA PALMA,7160,1772
,1717,9,1,5,GUSTAVO A. MADERO,853,URBANO(A),COLONIA,SAN ANTONIO,7109,1828
,1718,9,1,5,GUSTAVO A. MADERO,854,URBANO(A),PUEBLO,CUAUTEPEC EL ALTO,7100,1829
,1717,9,1,5,GUSTAVO A. MADERO,854,URBANO(A),COLONIA,SAN ANTONIO,7109,1828
,1716,9,1,5,GUSTAVO A. MADERO,854,URBANO(A),COLONIA,SAN MIGUEL CUAUTEPEC,7100,1827
,2131,9,1,5,GUSTAVO A. MADERO,855,URBANO(A),UNIDAD HABITACIONAL,20 DE NOVIEMBRE,7180,2284
,1718,9,1,5,GUSTAVO A. MADERO,855,URBANO(A),PUEBLO,CUAUTEPEC EL ALTO,7100,1829
,1718,9,1,5,GUSTAVO A. MADERO,856,URBANO(A),PUEBLO,CUAUTEPEC EL ALTO,7100,1829
,1719,9,1,5,GUSTAVO A. MADERO,857,URBANO(A),COLONIA,GENERAL FELIPE BERRIOZABAL,7180,1830
,1719,9,1,5,GUSTAVO A. MADERO,858,URBANO(A),COLONIA,GENERAL FELIPE BERRIOZABAL,7180,1830
,1704,9,1,5,GUSTAVO A. MADERO,859,URBANO(A),COLONIA,LA CASILDA,7150,1814
,969,9,1,5,GUSTAVO A. MADERO,859,URBANO(A),COLONIA,TLALPEXCO,7188,1017
,1719,9,1,5,GUSTAVO A. MADERO,860,URBANO(A),COLONIA,GENERAL FELIPE BERRIOZABAL,7180,1830
,961,9,1,5,GUSTAVO A. MADERO,860,URBANO(A),COLONIA,PALMATITLA,7170,1009
,961,9,1,5,GUSTAVO A. MADERO,861,URBANO(A),COLONIA,PALMATITLA,7170,1009
,1718,9,1,5,GUSTAVO A. MADERO,862,URBANO(A),PUEBLO,CUAUTEPEC EL ALTO,7100,1829
,961,9,1,5,GUSTAVO A. MADERO,862,URBANO(A),COLONIA,PALMATITLA,7170,1009
,1718,9,1,5,GUSTAVO A. MADERO,863,URBANO(A),PUEBLO,CUAUTEPEC EL ALTO,7100,1829
,1663,9,1,5,GUSTAVO A. MADERO,863,URBANO(A),COLONIA,LOMA DE LA PALMA,7160,1772
,1720,9,1,5,GUSTAVO A. MADERO,863,URBANO(A),COLONIA,VALLE DE MADERO,7190,1831
,1663,9,1,5,GUSTAVO A. MADERO,864,URBANO(A),COLONIA,LOMA DE LA PALMA,7160,1772
,1663,9,1,5,GUSTAVO A. MADERO,866,URBANO(A),COLONIA,LOMA DE LA PALMA,7160,1772
,1663,9,1,5,GUSTAVO A. MADERO,867,URBANO(A),COLONIA,LOMA DE LA PALMA,7160,1772
,1632,9,1,5,GUSTAVO A. MADERO,868,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1632,9,1,5,GUSTAVO A. MADERO,869,URBANO(A),COLONIA,CHALMA DE GUADALUPE,7210,1738
,1651,9,1,5,GUSTAVO A. MADERO,869,URBANO(A),COLONIA,GRACIANO SANCHEZ,7164,1757
,1653,9,1,5,GUSTAVO A. MADERO,869,URBANO(A),COLONIA,TLACAELEL,7164,1759
,1706,9,1,5,GUSTAVO A. MADERO,870,URBANO(A),COLONIA,CUAUTEPEC DE MADERO,7200,1816
,1663,9,1,5,GUSTAVO A. MADERO,870,URBANO(A),COLONIA,LOMA DE LA PALMA,7160,1772
,1663,9,1,5,GUSTAVO A. MADERO,871,URBANO(A),COLONIA,LOMA DE LA PALMA,7160,1772
,1720,9,1,5,GUSTAVO A. MADERO,871,URBANO(A),COLONIA,VALLE DE MADERO,7190,1831
,1720,9,1,5,GUSTAVO A. MADERO,872,URBANO(A),COLONIA,VALLE DE MADERO,7190,1831
,961,9,1,5,GUSTAVO A. MADERO,873,URBANO(A),COLONIA,PALMATITLA,7170,1009
,1718,9,1,5,GUSTAVO A. MADERO,874,URBANO(A),PUEBLO,CUAUTEPEC EL ALTO,7100,1829
,961,9,1,5,GUSTAVO A. MADERO,874,URBANO(A),COLONIA,PALMATITLA,7170,1009
,961,9,1,5,GUSTAVO A. MADERO,875,URBANO(A),COLONIA,PALMATITLA,7170,1009
,963,9,1,5,GUSTAVO A. MADERO,876,URBANO(A),COLONIA,6 DE JUNIO,7183,1011
,969,9,1,5,GUSTAVO A. MADERO,876,URBANO(A),COLONIA,TLALPEXCO,7188,1017
,969,9,1,5,GUSTAVO A. MADERO,877,URBANO(A),COLONIA,TLALPEXCO,7188,1017
,968,9,1,5,GUSTAVO A. MADERO,877,URBANO(A),COLONIA,VISTA HERMOSA,7187,1016
,969,9,1,5,GUSTAVO A. MADERO,878,URBANO(A),COLONIA,TLALPEXCO,7188,1017
,962,9,1,5,GUSTAVO A. MADERO,879,URBANO(A),COLONIA,COCOYOTES,7180,1010
,969,9,1,5,GUSTAVO A. MADERO,879,URBANO(A),COLONIA,TLALPEXCO,7188,1017
,962,9,1,5,GUSTAVO A. MADERO,880,URBANO(A),COLONIA,COCOYOTES,7180,1010
,961,9,1,5,GUSTAVO A. MADERO,880,URBANO(A),COLONIA,PALMATITLA,7170,1009
,1702,9,1,5,GUSTAVO A. MADERO,881,URBANO(A),COLONIA,AHUEHUETES,7189,1812
,962,9,1,5,GUSTAVO A. MADERO,881,URBANO(A),COLONIA,COCOYOTES,7180,1010
,969,9,1,5,GUSTAVO A. MADERO,881,URBANO(A),COLONIA,TLALPEXCO,7188,1017
,962,9,1,5,GUSTAVO A. MADERO,882,URBANO(A),COLONIA,COCOYOTES,7180,1010
,961,9,1,5,GUSTAVO A. MADERO,882,URBANO(A),COLONIA,PALMATITLA,7170,1009
,1706,9,1,5,GUSTAVO A. MADERO,883,URBANO(A),COLONIA,CUAUTEPEC DE MADERO,7200,1816
,1635,9,1,5,GUSTAVO A. MADERO,883,URBANO(A),COLONIA,JAIME S EMILIANO G,7170,1741
,1720,9,1,5,GUSTAVO A. MADERO,884,URBANO(A),COLONIA,VALLE DE MADERO,7190,1831
