,,CATALOGO DE COLONIAS DEL ESTADO DE DISTRITO FEDERAL,CATALOGO DE COLONIAS ,,,,,,,,
,,,,,,,,,,,
,ID,ENTIDAD,DISTRITO,MUNICIPIO,NOMBRE DEL MUNICIPIO,SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,CONTROL
,668,9,6,8,LA MAGDALENA CONTRERAS,2999,URBANO(A),COLONIA,SAN JERONIMO LIDICE,10200,700
,668,9,6,8,LA MAGDALENA CONTRERAS,3000,URBANO(A),COLONIA,SAN JERONIMO LIDICE,10200,700
,664,9,6,8,LA MAGDALENA CONTRERAS,3001,URBANO(A),UNIDAD HABITACIONAL,INDEPENDENCIA SAN RAMON,10100,696
,22,9,6,8,LA MAGDALENA CONTRERAS,3001,URBANO(A),COLONIA,PUENTE SIERRA,10110,3582
,668,9,6,8,LA MAGDALENA CONTRERAS,3001,URBANO(A),COLONIA,SAN JERONIMO LIDICE,10200,700
,668,9,6,8,LA MAGDALENA CONTRERAS,3002,URBANO(A),COLONIA,SAN JERONIMO LIDICE,10200,700
,668,9,6,8,LA MAGDALENA CONTRERAS,3003,URBANO(A),COLONIA,SAN JERONIMO LIDICE,10200,700
,672,9,6,8,LA MAGDALENA CONTRERAS,3004,URBANO(A),COLONIA,SAN JERONIMO ACULCO,10400,704
,668,9,6,8,LA MAGDALENA CONTRERAS,3004,URBANO(A),COLONIA,SAN JERONIMO LIDICE,10200,700
,672,9,6,8,LA MAGDALENA CONTRERAS,3005,URBANO(A),COLONIA,SAN JERONIMO ACULCO,10400,704
,668,9,6,8,LA MAGDALENA CONTRERAS,3005,URBANO(A),COLONIA,SAN JERONIMO LIDICE,10200,700
,668,9,6,8,LA MAGDALENA CONTRERAS,3006,URBANO(A),COLONIA,SAN JERONIMO LIDICE,10200,700
,668,9,6,8,LA MAGDALENA CONTRERAS,3007,URBANO(A),COLONIA,SAN JERONIMO LIDICE,10200,700
,1781,9,6,8,LA MAGDALENA CONTRERAS,3008,URBANO(A),COLONIA,LA MALINCHE,10010,1899
,1781,9,6,8,LA MAGDALENA CONTRERAS,3009,URBANO(A),COLONIA,LA MALINCHE,10010,1899
,1781,9,6,8,LA MAGDALENA CONTRERAS,3010,URBANO(A),COLONIA,LA MALINCHE,10010,1899
,1792,9,6,8,LA MAGDALENA CONTRERAS,3011,URBANO(A),COLONIA,CUAUHTEMOC,10020,1910
,1792,9,6,8,LA MAGDALENA CONTRERAS,3012,URBANO(A),COLONIA,CUAUHTEMOC,10020,1910
,1793,9,6,8,LA MAGDALENA CONTRERAS,3013,URBANO(A),COLONIA,LOS PADRES,10340,1911
,1791,9,6,8,LA MAGDALENA CONTRERAS,3014,URBANO(A),COLONIA,EL TANQUE,10320,1909
,479,9,6,8,LA MAGDALENA CONTRERAS,3015,URBANO(A),COLONIA,SAN BERNABE OCOTEPEC,10300,497
,2278,9,6,8,LA MAGDALENA CONTRERAS,3016,URBANO(A),COLONIA,LAS CRUCES,10330,501
,2278,9,6,8,LA MAGDALENA CONTRERAS,3017,URBANO(A),COLONIA,LAS CRUCES,10330,501
,2278,9,6,8,LA MAGDALENA CONTRERAS,3018,URBANO(A),COLONIA,LAS CRUCES,10330,501
,2278,9,6,8,LA MAGDALENA CONTRERAS,3019,URBANO(A),COLONIA,LAS CRUCES,10330,501
,1793,9,6,8,LA MAGDALENA CONTRERAS,3019,URBANO(A),COLONIA,LOS PADRES,10340,1911
,2446,9,6,8,LA MAGDALENA CONTRERAS,3020,URBANO(A),COLONIA,ATACAXCO,10370,3518
,1794,9,6,8,LA MAGDALENA CONTRERAS,3020,URBANO(A),FRACCIONAMIENTO,BARROS SIERRA,10380,1912
,1793,9,6,8,LA MAGDALENA CONTRERAS,3021,URBANO(A),COLONIA,LOS PADRES,10340,1911
,1793,9,6,8,LA MAGDALENA CONTRERAS,3022,URBANO(A),COLONIA,LOS PADRES,10340,1911
,1794,9,6,8,LA MAGDALENA CONTRERAS,3023,URBANO(A),FRACCIONAMIENTO,BARROS SIERRA,10380,1912
,1795,9,6,8,LA MAGDALENA CONTRERAS,3023,URBANO(A),COLONIA,LOMAS QUEBRADAS,10000,1913
,1792,9,6,8,LA MAGDALENA CONTRERAS,3024,URBANO(A),COLONIA,CUAUHTEMOC,10020,1910
,1792,9,6,8,LA MAGDALENA CONTRERAS,3025,URBANO(A),COLONIA,CUAUHTEMOC,10020,1910
,1792,9,6,8,LA MAGDALENA CONTRERAS,3026,URBANO(A),COLONIA,CUAUHTEMOC,10020,1910
,1795,9,6,8,LA MAGDALENA CONTRERAS,3026,URBANO(A),COLONIA,LOMAS QUEBRADAS,10000,1913
,668,9,6,8,LA MAGDALENA CONTRERAS,3026,URBANO(A),COLONIA,SAN JERONIMO LIDICE,10200,700
,1795,9,6,8,LA MAGDALENA CONTRERAS,3027,URBANO(A),COLONIA,LOMAS QUEBRADAS,10000,1913
,1796,9,6,8,LA MAGDALENA CONTRERAS,3027,URBANO(A),BARRIO,SAN FRANCISCO,10500,1914
,1796,9,6,8,LA MAGDALENA CONTRERAS,3028,URBANO(A),BARRIO,SAN FRANCISCO,10500,1914
,672,9,6,8,LA MAGDALENA CONTRERAS,3028,URBANO(A),COLONIA,SAN JERONIMO ACULCO,10400,704
,672,9,6,8,LA MAGDALENA CONTRERAS,3029,URBANO(A),COLONIA,SAN JERONIMO ACULCO,10400,704
,672,9,6,8,LA MAGDALENA CONTRERAS,3030,URBANO(A),COLONIA,SAN JERONIMO ACULCO,10400,704
,676,9,6,8,LA MAGDALENA CONTRERAS,3031,URBANO(A),COLONIA,HEROES DE PADIERNA,10700,708
,676,9,6,8,LA MAGDALENA CONTRERAS,3032,URBANO(A),COLONIA,HEROES DE PADIERNA,10700,708
,1796,9,6,8,LA MAGDALENA CONTRERAS,3032,URBANO(A),BARRIO,SAN FRANCISCO,10500,1914
,672,9,6,8,LA MAGDALENA CONTRERAS,3032,URBANO(A),COLONIA,SAN JERONIMO ACULCO,10400,704
,1796,9,6,8,LA MAGDALENA CONTRERAS,3033,URBANO(A),BARRIO,SAN FRANCISCO,10500,1914
,1794,9,6,8,LA MAGDALENA CONTRERAS,3034,URBANO(A),FRACCIONAMIENTO,BARROS SIERRA,10380,1912
,1795,9,6,8,LA MAGDALENA CONTRERAS,3034,URBANO(A),COLONIA,LOMAS QUEBRADAS,10000,1913
,1794,9,6,8,LA MAGDALENA CONTRERAS,3035,URBANO(A),FRACCIONAMIENTO,BARROS SIERRA,10380,1912
,1795,9,6,8,LA MAGDALENA CONTRERAS,3035,URBANO(A),COLONIA,LOMAS QUEBRADAS,10000,1913
,2446,9,6,8,LA MAGDALENA CONTRERAS,3036,URBANO(A),COLONIA,ATACAXCO,10370,3518
,2446,9,6,8,LA MAGDALENA CONTRERAS,3037,URBANO(A),COLONIA,ATACAXCO,10370,3518
,479,9,6,8,LA MAGDALENA CONTRERAS,3037,URBANO(A),COLONIA,SAN BERNABE OCOTEPEC,10300,497
,471,9,6,8,LA MAGDALENA CONTRERAS,3037,URBANO(A),COLONIA,VISTA HERMOSA,10379,487
,479,9,6,8,LA MAGDALENA CONTRERAS,3038,URBANO(A),COLONIA,SAN BERNABE OCOTEPEC,10300,497
,479,9,6,8,LA MAGDALENA CONTRERAS,3039,URBANO(A),COLONIA,SAN BERNABE OCOTEPEC,10300,497
,473,9,6,8,LA MAGDALENA CONTRERAS,3040,URBANO(A),COLONIA,LOMAS DE SAN BERNABE,10350,489
,479,9,6,8,LA MAGDALENA CONTRERAS,3040,URBANO(A),COLONIA,SAN BERNABE OCOTEPEC,10300,497
,473,9,6,8,LA MAGDALENA CONTRERAS,3041,URBANO(A),COLONIA,LOMAS DE SAN BERNABE,10350,489
,479,9,6,8,LA MAGDALENA CONTRERAS,3042,URBANO(A),COLONIA,SAN BERNABE OCOTEPEC,10300,497
,471,9,6,8,LA MAGDALENA CONTRERAS,3042,URBANO(A),COLONIA,VISTA HERMOSA,10379,487
,468,9,6,8,LA MAGDALENA CONTRERAS,3043,URBANO(A),COLONIA,LAS PALMAS,10370,484
,479,9,6,8,LA MAGDALENA CONTRERAS,3043,URBANO(A),COLONIA,SAN BERNABE OCOTEPEC,10300,497
,471,9,6,8,LA MAGDALENA CONTRERAS,3043,URBANO(A),COLONIA,VISTA HERMOSA,10379,487
,468,9,6,8,LA MAGDALENA CONTRERAS,3044,URBANO(A),COLONIA,LAS PALMAS,10370,484
,2446,9,6,8,LA MAGDALENA CONTRERAS,3045,URBANO(A),COLONIA,ATACAXCO,10370,3518
,457,9,6,8,LA MAGDALENA CONTRERAS,3045,URBANO(A),COLONIA,EL TORO,10610,471
,468,9,6,8,LA MAGDALENA CONTRERAS,3045,URBANO(A),COLONIA,LAS PALMAS,10370,484
,457,9,6,8,LA MAGDALENA CONTRERAS,3046,URBANO(A),COLONIA,EL TORO,10610,471
,457,9,6,8,LA MAGDALENA CONTRERAS,3047,URBANO(A),COLONIA,EL TORO,10610,471
,1795,9,6,8,LA MAGDALENA CONTRERAS,3047,URBANO(A),COLONIA,LOMAS QUEBRADAS,10000,1913
,1795,9,6,8,LA MAGDALENA CONTRERAS,3048,URBANO(A),COLONIA,LOMAS QUEBRADAS,10000,1913
,1796,9,6,8,LA MAGDALENA CONTRERAS,3048,URBANO(A),BARRIO,SAN FRANCISCO,10500,1914
,1796,9,6,8,LA MAGDALENA CONTRERAS,3049,URBANO(A),BARRIO,SAN FRANCISCO,10500,1914
,1797,9,6,8,LA MAGDALENA CONTRERAS,3050,URBANO(A),COLONIA,SAN FRANCISCO,10810,1915
,1797,9,6,8,LA MAGDALENA CONTRERAS,3051,URBANO(A),COLONIA,SAN FRANCISCO,10810,1915
,1796,9,6,8,LA MAGDALENA CONTRERAS,3052,URBANO(A),BARRIO,SAN FRANCISCO,10500,1914
,1797,9,6,8,LA MAGDALENA CONTRERAS,3052,URBANO(A),COLONIA,SAN FRANCISCO,10810,1915
,680,9,6,8,LA MAGDALENA CONTRERAS,3052,URBANO(A),COLONIA,SANTA TERESA,10710,712
,676,9,6,8,LA MAGDALENA CONTRERAS,3053,URBANO(A),COLONIA,HEROES DE PADIERNA,10700,708
,1797,9,6,8,LA MAGDALENA CONTRERAS,3053,URBANO(A),COLONIA,SAN FRANCISCO,10810,1915
,680,9,6,8,LA MAGDALENA CONTRERAS,3053,URBANO(A),COLONIA,SANTA TERESA,10710,712
,676,9,6,8,LA MAGDALENA CONTRERAS,3054,URBANO(A),COLONIA,HEROES DE PADIERNA,10700,708
,680,9,6,8,LA MAGDALENA CONTRERAS,3054,URBANO(A),COLONIA,SANTA TERESA,10710,712
,676,9,6,8,LA MAGDALENA CONTRERAS,3055,URBANO(A),COLONIA,HEROES DE PADIERNA,10700,708
,678,9,6,8,LA MAGDALENA CONTRERAS,3055,URBANO(A),CONJUNTO HABITACIONAL,SANTA TERESA,10740,710
,682,9,6,8,LA MAGDALENA CONTRERAS,3056,URBANO(A),UNIDAD HABITACIONAL,SANTA TERESA,10730,714
,680,9,6,8,LA MAGDALENA CONTRERAS,3056,URBANO(A),COLONIA,SANTA TERESA,10710,712
,681,9,6,8,LA MAGDALENA CONTRERAS,3057,URBANO(A),CONJUNTO HABITACIONAL,PEDREGAL 2,10720,713
,683,9,6,8,LA MAGDALENA CONTRERAS,3058,URBANO(A),COLONIA,LA GUADALUPE,10820,715
,680,9,6,8,LA MAGDALENA CONTRERAS,3058,URBANO(A),COLONIA,SANTA TERESA,10710,712
,1798,9,6,8,LA MAGDALENA CONTRERAS,3059,URBANO(A),COLONIA,LA CRUZ,10800,1916
,1798,9,6,8,LA MAGDALENA CONTRERAS,3060,URBANO(A),COLONIA,LA CRUZ,10800,1916
,1799,9,6,8,LA MAGDALENA CONTRERAS,3061,URBANO(A),COLONIA,BARRANCA SECA,10580,1917
,1799,9,6,8,LA MAGDALENA CONTRERAS,3062,URBANO(A),COLONIA,BARRANCA SECA,10580,1917
,1796,9,6,8,LA MAGDALENA CONTRERAS,3062,URBANO(A),BARRIO,SAN FRANCISCO,10500,1914
,458,9,6,8,LA MAGDALENA CONTRERAS,3063,URBANO(A),COLONIA,EL ROSAL,10600,472
,457,9,6,8,LA MAGDALENA CONTRERAS,3063,URBANO(A),COLONIA,EL TORO,10610,471
,456,9,6,8,LA MAGDALENA CONTRERAS,3063,URBANO(A),COLONIA,PUEBLO NUEVO BAJO,10640,470
,458,9,6,8,LA MAGDALENA CONTRERAS,3064,URBANO(A),COLONIA,EL ROSAL,10600,472
,457,9,6,8,LA MAGDALENA CONTRERAS,3064,URBANO(A),COLONIA,EL TORO,10610,471
,458,9,6,8,LA MAGDALENA CONTRERAS,3065,URBANO(A),COLONIA,EL ROSAL,10600,472
,458,9,6,8,LA MAGDALENA CONTRERAS,3066,URBANO(A),COLONIA,EL ROSAL,10600,472
,459,9,6,8,LA MAGDALENA CONTRERAS,3066,URBANO(A),COLONIA,POTRERILLO,10620,473
,458,9,6,8,LA MAGDALENA CONTRERAS,3067,URBANO(A),COLONIA,EL ROSAL,10600,472
,459,9,6,8,LA MAGDALENA CONTRERAS,3068,URBANO(A),COLONIA,POTRERILLO,10620,473
,479,9,6,8,LA MAGDALENA CONTRERAS,3068,URBANO(A),COLONIA,SAN BERNABE OCOTEPEC,10300,497
,472,9,6,8,LA MAGDALENA CONTRERAS,3069,URBANO(A),COLONIA,HUAYATLA,10360,488
,473,9,6,8,LA MAGDALENA CONTRERAS,3070,URBANO(A),COLONIA,LOMAS DE SAN BERNABE,10350,489
,473,9,6,8,LA MAGDALENA CONTRERAS,3071,URBANO(A),COLONIA,LOMAS DE SAN BERNABE,10350,489
,2367,9,6,8,LA MAGDALENA CONTRERAS,3071,URBANO(A),AMPLIACION,LOMAS DE SAN BERNABE,10369,3441
,2364,9,6,8,LA MAGDALENA CONTRERAS,3072,URBANO(A),COLONIA,LOMAS DE CAPULIN,1860,3438
,2367,9,6,8,LA MAGDALENA CONTRERAS,3072,URBANO(A),AMPLIACION,LOMAS DE SAN BERNABE,10369,3441
,2362,9,6,8,LA MAGDALENA CONTRERAS,3072,URBANO(A),COLONIA,PARAJE EL CABALLITO,1860,3436
,472,9,6,8,LA MAGDALENA CONTRERAS,3073,URBANO(A),COLONIA,HUAYATLA,10360,488
,460,9,6,8,LA MAGDALENA CONTRERAS,3074,URBANO(A),AMPLIACION,POTRERILLO,10368,474
,459,9,6,8,LA MAGDALENA CONTRERAS,3075,URBANO(A),COLONIA,POTRERILLO,10620,473
,461,9,6,8,LA MAGDALENA CONTRERAS,3076,URBANO(A),COLONIA,PUEBLO NUEVO ALTO,10640,475
,461,9,6,8,LA MAGDALENA CONTRERAS,3077,URBANO(A),COLONIA,PUEBLO NUEVO ALTO,10640,475
,1800,9,6,8,LA MAGDALENA CONTRERAS,3078,URBANO(A),COLONIA,LA MAGDALENA,10910,1918
,461,9,6,8,LA MAGDALENA CONTRERAS,3078,URBANO(A),COLONIA,PUEBLO NUEVO ALTO,10640,475
,456,9,6,8,LA MAGDALENA CONTRERAS,3078,URBANO(A),COLONIA,PUEBLO NUEVO BAJO,10640,470
,1799,9,6,8,LA MAGDALENA CONTRERAS,3079,URBANO(A),COLONIA,BARRANCA SECA,10580,1917
,685,9,6,8,LA MAGDALENA CONTRERAS,3079,URBANO(A),COLONIA,LA CONCEPCION,10830,717
,1800,9,6,8,LA MAGDALENA CONTRERAS,3079,URBANO(A),COLONIA,LA MAGDALENA,10910,1918
,691,9,6,8,LA MAGDALENA CONTRERAS,3079,URBANO(A),PUEBLO,SAN NICOLAS TOTOLAPAN,10900,724
,685,9,6,8,LA MAGDALENA CONTRERAS,3080,URBANO(A),COLONIA,LA CONCEPCION,10830,717
,683,9,6,8,LA MAGDALENA CONTRERAS,3080,URBANO(A),COLONIA,LA GUADALUPE,10820,715
,21,9,6,8,LA MAGDALENA CONTRERAS,3080,URBANO(A),BARRIO,LAS CALLES,10840,3581
,685,9,6,8,LA MAGDALENA CONTRERAS,3081,URBANO(A),COLONIA,LA CONCEPCION,10830,717
,691,9,6,8,LA MAGDALENA CONTRERAS,3082,URBANO(A),PUEBLO,SAN NICOLAS TOTOLAPAN,10900,724
,1800,9,6,8,LA MAGDALENA CONTRERAS,3083,URBANO(A),COLONIA,LA MAGDALENA,10910,1918
,691,9,6,8,LA MAGDALENA CONTRERAS,3083,URBANO(A),PUEBLO,SAN NICOLAS TOTOLAPAN,10900,724
,1800,9,6,8,LA MAGDALENA CONTRERAS,3084,URBANO(A),COLONIA,LA MAGDALENA,10910,1918
,1800,9,6,8,LA MAGDALENA CONTRERAS,3085,URBANO(A),COLONIA,LA MAGDALENA,10910,1918
,456,9,6,8,LA MAGDALENA CONTRERAS,3085,URBANO(A),COLONIA,PUEBLO NUEVO BAJO,10640,470
,462,9,6,8,LA MAGDALENA CONTRERAS,3086,URBANO(A),COLONIA,LA CARBONERA,10640,476
,461,9,6,8,LA MAGDALENA CONTRERAS,3086,URBANO(A),COLONIA,PUEBLO NUEVO ALTO,10640,475
,463,9,6,8,LA MAGDALENA CONTRERAS,3087,URBANO(A),COLONIA,EL OCOTAL,10630,477
,462,9,6,8,LA MAGDALENA CONTRERAS,3087,URBANO(A),COLONIA,LA CARBONERA,10640,476
,461,9,6,8,LA MAGDALENA CONTRERAS,3087,URBANO(A),COLONIA,PUEBLO NUEVO ALTO,10640,475
,463,9,6,8,LA MAGDALENA CONTRERAS,3088,URBANO(A),COLONIA,EL OCOTAL,10630,477
,466,9,6,8,LA MAGDALENA CONTRERAS,3089,URBANO(A),COLONIA,EL ERMITAÑO,10660,480
,463,9,6,8,LA MAGDALENA CONTRERAS,3089,URBANO(A),COLONIA,EL OCOTAL,10630,477
,2060,9,6,8,LA MAGDALENA CONTRERAS,3089,URBANO(A),COLONIA,RINCON DE TLACUILOTITLA,10660,2206
,464,9,6,8,LA MAGDALENA CONTRERAS,3090,MIXTO(A),BARRIO,CAZULCO,10900,478
,691,9,6,8,LA MAGDALENA CONTRERAS,3091,URBANO(A),PUEBLO,SAN NICOLAS TOTOLAPAN,10900,724
,23,9,6,8,LA MAGDALENA CONTRERAS,3092,URBANO(A),COLONIA,LAS HUERTAS,10920,3583
,691,9,6,8,LA MAGDALENA CONTRERAS,3092,URBANO(A),PUEBLO,SAN NICOLAS TOTOLAPAN,10900,724
,691,9,6,8,LA MAGDALENA CONTRERAS,3093,URBANO(A),PUEBLO,SAN NICOLAS TOTOLAPAN,10900,724
,691,9,6,8,LA MAGDALENA CONTRERAS,3094,URBANO(A),PUEBLO,SAN NICOLAS TOTOLAPAN,10900,724
,695,9,6,8,LA MAGDALENA CONTRERAS,3094,URBANO(A),PARAJE,SUBESTACION,10900,728
,2063,9,6,8,LA MAGDALENA CONTRERAS,3095,URBANO(A),PARAJE,GAVILLERO,10900,2209
,691,9,6,8,LA MAGDALENA CONTRERAS,3095,URBANO(A),PUEBLO,SAN NICOLAS TOTOLAPAN,10900,724
,464,9,6,8,LA MAGDALENA CONTRERAS,3097,URBANO(A),BARRIO,CAZULCO,10900,478
,462,9,6,8,LA MAGDALENA CONTRERAS,3097,URBANO(A),COLONIA,LA CARBONERA,10640,476
,461,9,6,8,LA MAGDALENA CONTRERAS,3097,URBANO(A),COLONIA,PUEBLO NUEVO ALTO,10640,475
,2063,9,6,8,LA MAGDALENA CONTRERAS,3098,URBANO(A),PARAJE,GAVILLERO,10900,2209
,699,9,6,8,LA MAGDALENA CONTRERAS,3098,URBANO(A),PARAJE,IXTLAHUALTONGO,10900,732
,2367,9,6,8,LA MAGDALENA CONTRERAS,3099,URBANO(A),AMPLIACION,LOMAS DE SAN BERNABE,10369,3441
,1793,9,6,8,LA MAGDALENA CONTRERAS,3100,URBANO(A),COLONIA,LOS PADRES,10340,1911
,664,9,6,8,LA MAGDALENA CONTRERAS,3101,URBANO(A),UNIDAD HABITACIONAL,INDEPENDENCIA SAN RAMON,10100,696
,2278,9,6,8,LA MAGDALENA CONTRERAS,3102,URBANO(A),COLONIA,LAS CRUCES,10330,501
,479,9,6,8,LA MAGDALENA CONTRERAS,3102,URBANO(A),COLONIA,SAN BERNABE OCOTEPEC,10300,497
,1781,9,6,8,LA MAGDALENA CONTRERAS,3103,URBANO(A),COLONIA,LA MALINCHE,10010,1899
,695,9,6,8,LA MAGDALENA CONTRERAS,3104,URBANO(A),PARAJE,SUBESTACION,10900,728
,458,9,6,8,LA MAGDALENA CONTRERAS,3105,URBANO(A),COLONIA,EL ROSAL,10600,472
,472,9,6,8,LA MAGDALENA CONTRERAS,3106,URBANO(A),COLONIA,HUAYATLA,10360,488
,2278,9,6,8,LA MAGDALENA CONTRERAS,3107,URBANO(A),COLONIA,LAS CRUCES,10330,501
,1792,9,6,8,LA MAGDALENA CONTRERAS,3108,URBANO(A),COLONIA,CUAUHTEMOC,10020,1910
,2367,9,6,8,LA MAGDALENA CONTRERAS,3109,URBANO(A),AMPLIACION,LOMAS DE SAN BERNABE,10369,3441
,459,9,6,8,LA MAGDALENA CONTRERAS,3110,URBANO(A),COLONIA,POTRERILLO,10620,473
,685,9,6,8,LA MAGDALENA CONTRERAS,3111,URBANO(A),COLONIA,LA CONCEPCION,10830,717
,683,9,6,8,LA MAGDALENA CONTRERAS,3111,URBANO(A),COLONIA,LA GUADALUPE,10820,715
,684,9,6,8,LA MAGDALENA CONTRERAS,3111,URBANO(A),COLONIA,PLAZUELA DEL PEDREGAL,10840,716
,1781,9,6,8,LA MAGDALENA CONTRERAS,3112,URBANO(A),COLONIA,LA MALINCHE,10010,1899
,468,9,6,8,LA MAGDALENA CONTRERAS,3113,URBANO(A),COLONIA,LAS PALMAS,10370,484
,1793,9,6,8,LA MAGDALENA CONTRERAS,3114,URBANO(A),COLONIA,LOS PADRES,10340,1911
,459,9,6,8,LA MAGDALENA CONTRERAS,3115,URBANO(A),COLONIA,POTRERILLO,10620,473
,461,9,6,8,LA MAGDALENA CONTRERAS,3115,URBANO(A),COLONIA,PUEBLO NUEVO ALTO,10640,475
,691,9,6,8,LA MAGDALENA CONTRERAS,3116,URBANO(A),PUEBLO,SAN NICOLAS TOTOLAPAN,10900,724
,1791,9,6,8,LA MAGDALENA CONTRERAS,3117,URBANO(A),COLONIA,EL TANQUE,10320,1909
,465,9,6,8,LA MAGDALENA CONTRERAS,3118,URBANO(A),COLONIA,TIERRA UNIDA,10350,479
,1687,9,6,8,LA MAGDALENA CONTRERAS,5557,URBANO(A),COLONIA,TIERRA COLORADA,10926,1797
,1687,9,6,8,LA MAGDALENA CONTRERAS,5558,URBANO(A),COLONIA,TIERRA COLORADA,10926,1797
,464,9,6,8,LA MAGDALENA CONTRERAS,5559,MIXTO(A),BARRIO,CAZULCO,10900,478
,691,9,6,8,LA MAGDALENA CONTRERAS,5559,MIXTO(A),PUEBLO,SAN NICOLAS TOTOLAPAN,10900,724
,1687,9,6,8,LA MAGDALENA CONTRERAS,5559,MIXTO(A),COLONIA,TIERRA COLORADA,10926,1797
,1016,9,6,10,ALVARO OBREGON,3217,URBANO(A),COLONIA,TIZAPAN SAN ANGEL,1080,1068
,1016,9,6,10,ALVARO OBREGON,3218,URBANO(A),COLONIA,TIZAPAN SAN ANGEL,1080,1068
,1019,9,6,10,ALVARO OBREGON,3219,URBANO(A),COLONIA,LORETO,1090,1072
,1016,9,6,10,ALVARO OBREGON,3219,URBANO(A),COLONIA,TIZAPAN SAN ANGEL,1080,1068
,1019,9,6,10,ALVARO OBREGON,3220,URBANO(A),COLONIA,LORETO,1090,1072
,1016,9,6,10,ALVARO OBREGON,3220,URBANO(A),COLONIA,TIZAPAN SAN ANGEL,1080,1068
,1018,9,6,10,ALVARO OBREGON,3221,URBANO(A),PUEBLO,TIZAPAN,1080,1070
,1016,9,6,10,ALVARO OBREGON,3221,URBANO(A),COLONIA,TIZAPAN SAN ANGEL,1080,1068
,1027,9,6,10,ALVARO OBREGON,3222,URBANO(A),COLONIA,LA OTRA BANDA,1090,1082
,713,9,6,10,ALVARO OBREGON,3222,URBANO(A),RESIDENCIAL,PUERTAS DEL PEDREGAL,1090,746
,1027,9,6,10,ALVARO OBREGON,3223,URBANO(A),COLONIA,LA OTRA BANDA,1090,1082
,1028,9,6,10,ALVARO OBREGON,3224,URBANO(A),COLONIA,JARDINES DEL PEDREGAL,1900,1083
,1028,9,6,10,ALVARO OBREGON,3225,URBANO(A),COLONIA,JARDINES DEL PEDREGAL,1900,1083
,1028,9,6,10,ALVARO OBREGON,3226,URBANO(A),COLONIA,JARDINES DEL PEDREGAL,1900,1083
,1028,9,6,10,ALVARO OBREGON,3227,URBANO(A),COLONIA,JARDINES DEL PEDREGAL,1900,1083
,1028,9,6,10,ALVARO OBREGON,3228,URBANO(A),COLONIA,JARDINES DEL PEDREGAL,1900,1083
,1028,9,6,10,ALVARO OBREGON,3229,URBANO(A),COLONIA,JARDINES DEL PEDREGAL,1900,1083
,1028,9,6,10,ALVARO OBREGON,3230,URBANO(A),COLONIA,JARDINES DEL PEDREGAL,1900,1083
,1028,9,6,10,ALVARO OBREGON,3231,URBANO(A),COLONIA,JARDINES DEL PEDREGAL,1900,1083
,1028,9,6,10,ALVARO OBREGON,3232,URBANO(A),COLONIA,JARDINES DEL PEDREGAL,1900,1083
,1028,9,6,10,ALVARO OBREGON,3233,URBANO(A),COLONIA,JARDINES DEL PEDREGAL,1900,1083
,1028,9,6,10,ALVARO OBREGON,3234,URBANO(A),COLONIA,JARDINES DEL PEDREGAL,1900,1083
,1008,9,6,10,ALVARO OBREGON,3430,URBANO(A),COLONIA,AXOTLA,1030,1060
,1008,9,6,10,ALVARO OBREGON,3431,URBANO(A),COLONIA,AXOTLA,1030,1060
,1007,9,6,10,ALVARO OBREGON,3431,URBANO(A),COLONIA,FLORIDA,1030,1058
,1003,9,6,10,ALVARO OBREGON,3432,URBANO(A),COLONIA,GUADALUPE INN,1020,1054
,856,9,6,10,ALVARO OBREGON,3453,URBANO(A),COLONIA,ALPES,1010,896
,1003,9,6,10,ALVARO OBREGON,3454,URBANO(A),COLONIA,GUADALUPE INN,1020,1054
,1003,9,6,10,ALVARO OBREGON,3455,URBANO(A),COLONIA,GUADALUPE INN,1020,1054
,1007,9,6,10,ALVARO OBREGON,3456,URBANO(A),COLONIA,FLORIDA,1030,1058
,1008,9,6,10,ALVARO OBREGON,3457,URBANO(A),COLONIA,AXOTLA,1030,1060
,1009,9,6,10,ALVARO OBREGON,3457,URBANO(A),PUEBLO,AXOTLA,1030,1061
,1007,9,6,10,ALVARO OBREGON,3457,URBANO(A),COLONIA,FLORIDA,1030,1058
,1008,9,6,10,ALVARO OBREGON,3458,URBANO(A),COLONIA,AXOTLA,1030,1060
,1009,9,6,10,ALVARO OBREGON,3458,URBANO(A),PUEBLO,AXOTLA,1030,1061
,1009,9,6,10,ALVARO OBREGON,3459,URBANO(A),PUEBLO,AXOTLA,1030,1061
,1008,9,6,10,ALVARO OBREGON,3459,URBANO(A),COLONIA,AXOTLA,1030,1060
,1007,9,6,10,ALVARO OBREGON,3459,URBANO(A),COLONIA,FLORIDA,1030,1058
,1014,9,6,10,ALVARO OBREGON,3460,URBANO(A),CONJUNTO HABITACIONAL,DE GUADALUPE,1050,1066
,1007,9,6,10,ALVARO OBREGON,3460,URBANO(A),COLONIA,FLORIDA,1030,1058
,1003,9,6,10,ALVARO OBREGON,3461,URBANO(A),COLONIA,GUADALUPE INN,1020,1054
,1003,9,6,10,ALVARO OBREGON,3462,URBANO(A),COLONIA,GUADALUPE INN,1020,1054
,1013,9,6,10,ALVARO OBREGON,3462,URBANO(A),COLONIA,SAN ANGEL,1000,1065
,919,9,6,10,ALVARO OBREGON,3463,URBANO(A),COLONIA,CAMPESTRE,1040,962
